Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal,
"2021-01-04",132.5331,132.6224,125.8230,128.4534,143301900.0000,
"2021-01-05",127.9373,130.7662,127.4807,130.0416,97664900.0000,
"2021-01-06",126.7759,130.0813,125.4458,125.6642,155088000.0000,
"2021-01-07",127.4112,130.6570,126.9149,129.9523,109578200.0000,
"2021-01-08",131.4511,131.6496,129.2674,131.0739,105158200.0000,
"2021-01-11",128.2351,129.2078,127.5502,128.0266,100384500.0000,
"2021-01-12",127.5502,128.7314,125.9223,127.8480,91951100.0000,
"2021-01-13",127.8083,130.4784,127.5403,129.9225,88636800.0000,
"2021-01-14",129.8332,130.0317,127.8083,127.9572,90221800.0000,
"2021-01-15",127.8281,129.2575,126.0613,126.2002,111598500.0000,
"2021-01-19",126.8355,127.7586,126.0017,126.8851,90757300.0000,
"2021-01-20",127.7090,131.5107,127.5998,131.0541,104319500.0000,128.5899,
"2021-01-21",132.8110,138.6376,132.6025,135.8583,120150900.0000,129.7081,
"2021-01-22",135.2727,138.8163,134.0220,138.0421,114459400.0000,130.9903,
"2021-01-25",142.0125,144.0175,135.5307,141.8636,157611700.0000,132.6631,
"2021-01-26",142.5386,143.2334,140.3250,142.1018,98390600.0000,134.1152,
"2021-01-27",142.3698,143.2334,139.3721,141.0099,140843800.0000,135.1759,
"2021-01-28",138.4887,140.9405,135.6896,136.0767,142621100.0000,135.3145,
"2021-01-29",134.8260,135.7293,129.2475,130.9846,177523800.0000,134.6484,
"2021-02-01",132.7614,134.3793,129.9622,133.1485,106239800.0000,134.4176,
"2021-02-02",134.7267,135.3024,133.6150,133.9922,83305400.0000,134.3522,
"2021-02-03",134.7565,134.7665,132.6224,132.9500,89880900.0000,134.1364,
"2021-02-04",135.2925,136.3844,133.5951,136.3745,84183100.0000,134.4808,
"2021-02-05",136.5385,136.6081,135.0573,135.9520,75693800.0000,134.7071,
"2021-02-08",135.2263,136.1508,134.1228,136.1011,71297200.0000,134.9216,
"2021-02-9",135.8128,137.0654,135.0474,135.2064,76774200.0000,134.9654,132.7977,2.1677,
"2021-02-10",135.6736,136.1806,133.6059,134.5901,73046600.0000,134.9076,132.9305,1.9772,
"2021-02-11",135.0970,135.5842,132.9796,134.3316,64280000.0000,134.8190,133.0343,1.7847,
"2021-02-12",133.5562,134.7292,132.9001,134.5702,60145100.0000,134.7807,133.1480,1.6327,
"2021-02-16",134.6895,135.2064,132.0054,132.4030,80576300.0000,134.4149,133.0929,1.3221,
"2021-02-17",130.4745,131.4388,128.7051,130.0670,97918500.0000,133.7460,132.8687,0.8773,
"2021-02-18",128.4366,129.2319,126.6572,128.9436,96856700.0000,133.0072,132.5780,0.4292,
"2021-02-19",129.4705,129.9377,128.0390,129.1027,87668800.0000,132.4065,132.3205,0.0860,
"2021-02-22",127.2537,128.9536,124.8579,125.2555,103916400.0000,131.3063,131.7972,-0.4909,1.0873,
"2021-02-23",123.0288,125.9614,117.6905,125.1164,158273000.0000,130.3540,131.3023,-0.9483,0.6802,
"2021-02-24",124.2018,124.8181,121.5078,124.6094,111039900.0000,129.4702,130.8066,-1.3363,0.2769,
"2021-02-25",123.9433,125.7128,119.8278,120.2751,148199500.0000,128.0556,130.0265,-1.9708,-0.1726,
"2021-02-26",121.8657,124.1123,120.4839,120.5436,164560400.0000,126.8999,129.3240,-2.4241,-0.6229,
"2021-03-01",123.0188,127.1741,122.0645,127.0350,116307900.0000,126.9207,129.1545,-2.2338,-0.9451,
"2021-03-02",127.6513,127.9595,124.2714,124.3807,102260900.0000,126.5299,128.8008,-2.2709,-1.2103,
"2021-03-03",124.0726,124.9673,121.1201,121.3388,112966300.0000,125.7313,128.2481,-2.5168,-1.4716,
"2021-03-04",121.0307,122.8697,117.9191,119.4202,178155000.0000,124.7604,127.5942,-2.8338,-1.7440,
"2021-03-05",120.2652,121.2195,116.8753,120.7026,153766600.0000,124.1361,127.0837,-2.9476,-1.9847,
"2021-03-08",120.2155,120.2851,115.5234,115.6725,154376600.0000,122.8340,126.2384,-3.4044,-2.2687,
"2021-03-9",118.3267,121.3388,118.0881,120.3745,129525800.0000,122.4556,125.8041,-3.3484,-2.4846,
"2021-03-10",120.9710,121.4482,118.7442,119.2711,111943300.0000,121.9657,125.3201,-3.3544,-2.6586,
"2021-03-11",121.8160,122.4820,120.5435,121.2394,103026500.0000,121.8540,125.0179,-3.1639,-2.7597,
"2021-03-12",119.6886,120.4541,118.4560,120.3149,88105100.0000,121.6172,124.6695,-3.0523,-2.8182,
"2021-03-15",120.6927,123.2674,119.7085,123.2574,92403800.0000,121.8695,124.5649,-2.6954,-2.7936,
"2021-03-16",124.9573,126.4683,123.9831,124.8281,115227900.0000,122.3247,124.5844,-2.2597,-2.6868,
"2021-03-17",123.3171,125.1164,121.6172,124.0229,111932600.0000,122.5859,124.5428,-1.9569,-2.5408,
"2021-03-18",122.1540,122.4522,119.6091,119.8179,121229700.0000,122.1601,124.1928,-2.0327,-2.4392,
"2021-03-19",119.1916,120.7125,118.9729,119.2811,185549500.0000,121.7172,123.8290,-2.1118,-2.3737,
"2021-03-22",119.6190,123.1381,119.5495,122.6610,111912300.0000,121.8624,123.7425,-1.8801,-2.2750,
"2021-03-23",122.6013,123.5059,121.4183,121.8160,95467100.0000,121.8552,123.5998,-1.7445,-2.1689,
"2021-03-24",122.0943,122.1739,119.3606,119.3805,88530500.0000,121.4745,123.2872,-1.8127,-2.0977,
"2021-03-25",118.8337,120.9412,118.2969,119.8775,98844700.0000,121.2288,123.0346,-1.8058,-2.0393,
"2021-03-26",119.6389,120.7623,118.2174,120.4938,94071200.0000,121.1157,122.8464,-1.7307,-1.9776,
"2021-03-29",120.9312,121.8558,120.0167,120.6728,80819200.0000,121.0476,122.6854,-1.6378,-1.9096,
"2021-03-30",119.4003,119.6886,118.1577,119.1916,85671900.0000,120.7620,122.4266,-1.6646,-1.8606,
"2021-03-31",120.9312,122.7902,120.4342,121.4283,118323800.0000,120.8645,122.3527,-1.4881,-1.7861,
"2021-04-01",122.9294,123.4463,121.7663,122.2733,75089100.0000,121.0813,122.3468,-1.2655,-1.6820,
"2021-04-05",123.1381,125.4146,122.3429,125.1561,88651200.0000,121.7082,122.5549,-0.8467,-1.5149,
"2021-04-06",125.7526,126.3789,124.9076,125.4643,80171300.0000,122.2860,122.7704,-0.4844,-1.3088,
"2021-04-07",125.0865,127.1642,124.4006,127.1443,83466700.0000,123.0335,123.0944,-0.0609,-1.0592,
"2021-04-08",128.1881,129.6196,127.7607,129.5898,88844600.0000,124.0421,123.5755,0.4666,-0.7541,
"2021-04-9",129.0331,132.2539,128.7050,132.2142,106686700.0000,125.2994,124.2154,1.0839,-0.3865,
"2021-04-12",131.7370,132.0651,129.8582,130.4646,91420000.0000,126.0940,124.6783,1.4157,-0.0260,
"2021-04-13",131.6575,133.8644,131.1505,133.6357,91266500.0000,127.2543,125.3418,1.9124,0.3617,
"2021-04-14",134.1427,134.2024,130.8821,131.2499,87222800.0000,127.8690,125.7795,2.0895,0.7072,
"2021-04-15",133.0293,134.2024,132.8504,133.7053,89347100.0000,128.7669,126.3666,2.4003,1.0458,
"2021-04-16",133.5065,133.8743,132.4925,133.3674,84922400.0000,129.4747,126.8852,2.5895,1.3546,
"2021-04-19",132.7212,134.6696,132.5522,134.0433,94264200.0000,130.1775,127.4154,2.7621,1.6361,
"2021-04-20",134.2223,134.7292,131.0312,132.3235,94812300.0000,130.5077,127.7790,2.7287,1.8546,
"2021-04-21",131.5780,132.9598,130.5242,132.7112,68847100.0000,130.8467,128.1443,2.7024,2.0242,
"2021-04-22",132.2539,133.3574,130.6336,131.1604,84566500.0000,130.8950,128.3677,2.5272,2.1248,
"2021-04-23",131.3791,134.3216,131.3791,133.5264,78657500.0000,131.2998,128.7498,2.5499,2.2098,
"2021-04-26",134.0334,134.2620,132.7709,133.9240,66905100.0000,131.7035,129.1331,2.5704,2.2819,
"2021-04-27",134.2123,134.6099,133.3176,133.5960,66015800.0000,131.9947,129.4637,2.5310,2.3317,
"2021-04-28",133.5164,134.2223,132.2937,132.7908,107760100.0000,132.1171,129.7102,2.4070,2.3468,
"2021-04-29",135.6637,136.2601,131.6674,132.6913,151101000.0000,132.2055,129.9310,2.2745,2.3323,
"2021-04-30",131.0014,132.7709,130.2956,130.6833,109839500.0000,131.9713,129.9867,1.9846,2.2628,
"2021-05-03",131.2599,133.2779,131.0511,131.7569,75135100.0000,131.9383,130.1178,1.8205,2.1743,
"2021-05-04",130.4149,130.7131,125.9514,127.0946,137564700.0000,131.1931,129.8939,1.2992,1.9993,
"2021-05-05",128.4366,129.6792,127.2139,127.3431,84000900.0000,130.6008,129.7049,0.8959,1.7786,
"2021-05-06",127.1344,128.9834,126.3789,128.9734,78128300.0000,130.3505,129.6508,0.6997,1.5628,
"2021-05-07",130.2979,130.7061,128.9336,129.6606,78973300.0000,130.2443,129.6515,0.5928,1.3688,
"2021-05-10",128.8639,128.9934,126.2749,126.3147,88071200.0000,129.6398,129.4043,0.2354,1.1422,
"2021-05-11",122.9788,125.7372,122.2519,125.3787,126142800.0000,128.9842,129.1061,-0.1219,0.8893,
"2021-05-12",122.8793,124.1140,121.7341,122.2519,112172300.0000,127.9485,128.5984,-0.6499,0.5815,
"2021-05-13",124.0543,125.6177,123.7356,124.4426,105861300.0000,127.4091,128.2906,-0.8815,0.2889,
"2021-05-14",125.7172,127.3503,125.3189,126.9122,81918000.0000,127.3327,128.1885,-0.8558,0.0600,
"2021-05-17",126.2848,126.3944,124.6418,125.7372,74244600.0000,127.0872,128.0069,-0.9197,-0.1360,
"2021-05-18",126.0259,126.4541,124.2534,124.3232,63342900.0000,126.6620,127.7340,-1.0721,-0.3232,
"2021-05-19",122.6403,124.3929,122.3415,124.1638,92612000.0000,126.2776,127.4696,-1.1919,-0.4969,
"2021-05-20",124.7015,127.1810,124.5721,126.7728,76857100.0000,126.3538,127.4179,-1.0641,-0.6104,
"2021-05-21",127.2806,127.4599,124.6816,124.9007,79295400.0000,126.1303,127.2315,-1.1012,-0.7085,
"2021-05-24",125.4783,127.4001,125.4086,126.5637,63092900.0000,126.1969,127.1820,-0.9851,-0.7639,
"2021-05-25",127.2806,127.7785,125.7869,126.3645,72009500.0000,126.2227,127.1215,-0.8987,-0.7908,
"2021-05-26",126.4242,126.8524,125.8865,126.3147,56575900.0000,126.2369,127.0617,-0.8248,-0.7976,
"2021-05-27",125.9064,127.1014,124.5522,124.7513,94625600.0000,126.0083,126.8906,-0.8822,-0.8146,
"2021-05-28",125.0401,125.2691,124.0244,124.0842,71311100.0000,125.7123,126.6827,-0.9704,-0.8457,
"2021-06-01",124.5522,124.8210,123.4170,123.7556,67637100.0000,125.4113,126.4659,-1.0546,-0.8875,
"2021-06-02",123.7556,124.7115,123.5265,124.5323,59278900.0000,125.2760,126.3226,-1.0466,-0.9193,
"2021-06-03",124.1539,124.3232,122.6104,123.0187,76229200.0000,124.9287,126.0779,-1.1491,-0.9653,
"2021-06-04",123.5464,125.6276,123.3274,125.3588,75169300.0000,124.9949,126.0246,-1.0297,-0.9782,
"2021-06-07",125.6376,125.7869,124.3032,125.3687,71057600.0000,125.0524,125.9760,-0.9236,-0.9673,
"2021-06-08",126.0658,127.9179,125.6774,126.2052,74403800.0000,125.2298,125.9930,-0.7632,-0.9265,
"2021-06-9",126.6732,127.2109,125.9861,126.5935,56877900.0000,125.4396,126.0375,-0.5979,-0.8607,
"2021-06-10",126.4840,127.6491,125.4086,125.5778,71186400.0000,125.4608,126.0034,-0.5426,-0.7971,
"2021-06-11",125.9961,126.9022,125.5679,126.8126,53522400.0000,125.6688,126.0634,-0.3946,-0.7166,
"2021-06-14",127.2806,129.9891,126.5338,129.9294,96906500.0000,126.3243,126.3498,-0.0255,-0.5784,
"2021-06-15",129.3917,130.0489,128.8440,129.0929,62746300.0000,126.7502,126.5530,0.1973,-0.4233,
"2021-06-16",129.8199,130.3377,127.9179,129.6008,91815000.0000,127.1888,126.7787,0.4101,-0.2566,
"2021-06-17",129.2523,131.9907,129.1029,131.2339,96721700.0000,127.8111,127.1087,0.7024,-0.0648,
"2021-06-18",130.1584,130.9550,129.6904,129.9095,108953300.0000,128.1339,127.3162,0.8177,0.1117,
"2021-06-21",129.7501,131.8512,128.6647,131.7417,79663300.0000,128.6890,127.6440,1.0450,0.2984,
"2021-06-22",131.5724,133.5142,131.0646,133.4146,74783600.0000,129.4160,128.0715,1.3445,0.5076,
"2021-06-23",133.2055,133.7532,132.6678,133.1358,60214200.0000,129.9883,128.4466,1.5417,0.7144,
"2021-06-24",133.8826,134.0718,132.3690,132.8470,68711000.0000,130.4281,128.7726,1.6555,0.9026,
"2021-06-25",132.8968,133.3250,132.2496,132.5483,70783700.0000,130.7543,129.0522,1.7020,1.0625,
"2021-06-28",132.8470,134.6793,132.7873,134.2112,62111300.0000,131.2861,129.4344,1.8517,1.2204,
"2021-06-29",134.2312,135.9140,133.7831,135.7547,64556100.0000,131.9736,129.9026,2.0710,1.3905,
"2021-06-30",135.5954,136.8301,135.2966,136.3820,63261400.0000,132.6518,130.3825,2.2693,1.5662,
"2021-07-01",136.0236,136.7505,135.1871,136.6908,52485800.0000,133.2732,130.8498,2.4234,1.7377,
"2021-07-02",137.3181,139.4092,137.1687,139.3694,78852600.0000,134.2111,131.4809,2.7302,1.9362,
"2021-07-06",139.4789,142.5459,139.4789,141.4207,108181800.0000,135.3202,132.2172,3.1031,2.1696,
"2021-07-07",142.9343,144.2786,142.0580,143.9599,104911600.0000,136.6494,133.0870,3.5624,2.4481,
"2021-07-08",140.9826,143.4521,140.0764,142.6356,105575500.0000,137.5704,133.7943,3.7761,2.7137,
"2021-07-9",142.1476,145.0354,142.0480,144.4977,99890800.0000,138.6361,134.5871,4.0490,2.9808,
"2021-07-12",145.5930,145.7026,143.3923,143.8902,76299700.0000,139.4444,135.2763,4.1682,3.2183,
"2021-07-13",143.4222,146.8377,143.0239,145.0254,100827100.0000,140.3030,135.9984,4.3046,3.4355,
"2021-07-14",147.4750,148.9388,147.0568,148.5206,127050800.0000,141.5673,136.9260,4.6413,3.6767,
"2021-07-15",148.6102,149.3670,146.4693,147.8534,106820300.0000,142.5344,137.7354,4.7990,3.9011,
"2021-07-16",147.8335,149.1280,145.2644,145.7723,93251400.0000,143.0325,138.3307,4.7018,4.0613,
"2021-07-19",143.1434,143.4621,141.0722,141.8489,121434600.0000,142.8504,138.5914,4.2591,4.1008,
"2021-07-20",142.8546,146.4793,142.3567,145.5333,96350000.0000,143.2632,139.1056,4.1576,4.1122,
"2021-07-21",144.9159,145.5134,144.0197,144.7864,74993500.0000,143.4975,139.5264,3.9711,4.0840,
"2021-07-22",145.3242,147.5746,145.1947,146.1805,77338200.0000,143.9103,140.0193,3.8910,4.0454,
"2021-07-23",146.9274,148.0924,146.3000,147.9331,71447400.0000,144.5292,140.6055,3.9237,4.0210,
"2021-07-26",147.6443,149.1977,147.0767,148.3613,72434100.0000,145.1187,141.1800,3.9387,4.0046,
"2021-07-27",148.4907,148.5804,144.9358,146.1507,104818600.0000,145.2775,141.5482,3.7293,3.9495,
"2021-07-28",144.1989,146.3498,141.9385,144.3682,118931200.0000,145.1376,141.7571,3.3805,3.8357,
"2021-07-29",144.0794,145.9316,143.9699,145.0254,56699500.0000,145.1203,141.9992,3.1212,3.6928,
"2021-07-30",143.7707,145.7125,143.5019,145.2445,70440600.0000,145.1394,142.2396,2.8999,3.5342,
"2021-08-02",145.7424,146.3299,144.6371,144.9059,62880000.0000,145.1035,142.4371,2.6664,3.3607,
"2021-08-03",145.1947,147.4153,144.5674,146.7382,64786600.0000,145.3550,142.7557,2.5993,3.2084,
"2021-08-04",146.6486,147.1663,145.6627,146.3299,56368300.0000,145.5050,143.0204,2.4846,3.0636,
"2021-08-05",146.3598,147.2161,145.5532,146.4394,46397700.0000,145.6487,143.2737,2.3751,2.9259,
"2021-08-06",145.9508,146.7087,145.2327,145.7413,54126800.0000,145.6630,143.4565,2.2065,2.7820,
"2021-08-9",145.8012,146.2998,145.1230,145.6915,48908700.0000,145.6674,143.6220,2.0453,2.6347,
"2021-08-10",146.0405,147.3071,144.9036,145.2028,69023100.0000,145.5959,143.7391,1.8568,2.4791,
"2021-08-11",145.6516,146.3198,145.1330,145.4621,48493500.0000,145.5753,143.8668,1.7086,2.3250,
"2021-08-12",145.7912,148.6434,145.4422,148.4838,72282600.0000,146.0228,144.2088,1.8140,2.2228,
"2021-08-13",148.5636,149.0324,147.8655,148.6933,59375000.0000,146.4336,144.5409,1.8927,2.1568,
"2021-08-16",148.1348,150.7776,146.0704,150.7077,103296000.0000,147.0912,144.9977,2.0934,2.1441,
"2021-08-17",149.8202,151.2662,148.6833,149.7803,92229700.0000,147.5049,145.3520,2.1529,2.1459,
